ParName   Value   Gradient
MGparm[1]     0.142104  0.000134322
MGparm[2]      21.2621 -8.45664e-006
MGparm[3]      132.987 -0.000158022
MGparm[4]     0.190427 -5.69202e-005
MGparm[5]    0.0853234 -1.10855e-006
MGparm[6]     0.113727 -3.06967e-006
SR_parm[1]        17.57 -0.000168731
recdev1(1)  0.000249965 1.34701e-006
recdev1(2)  0.000311775 1.21239e-006
recdev1(3)  0.000380013 1.13761e-006
recdev1(4)  0.000455318 1.14755e-006
recdev1(5)  0.000538362 1.02811e-006
recdev1(6)  0.000629859 7.70771e-007
recdev1(7)  0.000730549 6.70358e-007
recdev1(8)   0.00084117 6.86117e-007
recdev1(9)  0.000962421 6.54543e-007
recdev1(10)    0.0010949 4.08229e-007
recdev1(11)   0.00123903 1.18498e-007
recdev1(12)   0.00139494  2.6104e-008
recdev1(13)    0.0015623 -7.8033e-008
recdev1(14)   0.00174128 -2.43351e-007
recdev1(15)   0.00192554 -5.71636e-007
recdev1(16)   0.00211787 -6.60987e-007
recdev1(17)   0.00230744 -7.26452e-007
recdev1(18)   0.00249313 -1.10158e-006
recdev1(19)   0.00266128 -1.39403e-006
recdev1(20)   0.00279846 -1.24421e-006
recdev1(21)   0.00288978 -2.00071e-006
recdev1(22)   0.00292898 -8.87852e-007
recdev1(23)   0.00290411 -1.71055e-006
recdev1(24)   0.00283228   -1.49e-006
recdev1(25)   0.00292602 -1.26699e-006
recdev1(26)   0.00305514 -1.7704e-006
recdev1(27)   0.00313789 -1.67909e-006
recdev1(28)   0.00320186 -1.83591e-006
recdev1(29)   0.00325331 -1.60479e-006
recdev1(30)   0.00328925 -1.78313e-006
recdev1(31)   0.00329637 -1.82982e-006
recdev1(32)   0.00326154 -1.54565e-006
recdev1(33)    0.0031573 -1.79382e-006
recdev1(34)   0.00292676 -1.55015e-006
recdev1(35)   0.00244207 -1.66217e-006
recdev1(36)   0.00160015 -1.60808e-006
recdev1(37) -0.000181099 -1.44108e-006
recdev1(38)   -0.0420513 -1.36858e-006
recdev1(39)    0.0951606 -1.99777e-006
recdev1(40)   -0.0735636 -1.31014e-006
recdev1(41)    0.0484838 -1.30829e-006
recdev1(42)    -0.125005 -4.29041e-007
recdev1(43)   -0.0213079 -8.24372e-007
recdev1(44)     0.153063 -1.22599e-006
recdev1(45)     0.312582 -2.08113e-006
recdev1(46)   -0.0077641 -7.82276e-007
recdev1(47)    0.0104869 -1.16665e-006
recdev1(48)   -0.0847007 -5.68885e-007
recdev1(49)     0.137021 -1.42093e-006
recdev1(50)     0.145096 -7.02248e-007
recdev1(51)     0.120712 -1.08423e-006
recdev1(52)   0.00680912 -7.03214e-007
recdev1(53)     -0.45892 -1.93643e-007
recdev1(54)    -0.502211 3.82484e-007
recdev1(55)    0.0459471 -5.36896e-007
recdev1(56)   -0.0894663 -8.50043e-007
recdev1(57)    -0.276379 -3.12601e-007
recdev1(58)    -0.484352 4.73721e-007
recdev1(59)     0.654424 -2.09359e-006
recdev1(60)     -0.34255 1.19381e-006
recdev1(61)     0.771729 -1.33594e-006
recdev1(62)     0.118777 2.15653e-007
recdev1(63)     -0.75322 1.08394e-006
recdev1(64)      0.42272 -1.5032e-007
recdev1(65)   -0.0337592 3.02217e-007
recdev1(66)      0.33363 -1.40437e-007
recdev1(67)     0.294709 -7.54502e-008
recdev1(68)    -0.215926 8.25495e-007
recdev1(69)    -0.236628  6.7708e-007
recdev1(70)    -0.348909 1.10573e-006
recdev1(71)   -0.0162401 1.02309e-006
recdev1(72)    0.0245558  8.5164e-007
recdev1(73)     0.180351 8.17292e-007
recdev1(74)     0.259379 8.36366e-007
recdev1(75)    0.0384494 4.02225e-007
recdev1(76)     0.722535 4.10297e-007
recdev1(77)    -0.203738 1.42296e-006
recdev1(78)    -0.620963 1.68588e-006
recdev1(79)    -0.511701 1.45162e-006
recdev1(80)     0.238664 8.99195e-007
recdev1(81)     -0.46383 1.62279e-006
recdev1(82)     0.571397 8.45078e-007
recdev1(83)     0.243892 1.31344e-006
recdev1(84)    -0.317898 1.70962e-006
recdev1(85)    -0.620446 1.56383e-006
recdev1(86)     -0.21674 1.48116e-006
recdev1(87)   -0.0925212 1.13406e-006
recdev1(88)     -0.37514 1.49785e-006
recdev1(89)     0.308757 1.51063e-006
recdev1(90)     0.697611 1.29383e-006
recdev1(91)   -0.0161311 1.52915e-006
recdev1(92)    -0.178716 9.16415e-007
recdev1(93)    0.0882667 2.12351e-006
recdev1(94)      -0.1156 1.48045e-006
recdev1(95)    0.0355681 1.24976e-006
recdev1(96)    0.0793582  1.7328e-006
recdev1(97)     0.415427 2.38235e-006
recdev1(98)     0.192316 1.43056e-006
recdev1(99)    0.0260634 2.10409e-006
recdev1(100)   -0.0209208 1.88285e-006
Fcast_recruitments(101)            0            0
Q_parm[1]    0.0283743 -4.47098e-005
selparm[1]      49.2157 -5.61902e-006
selparm[3]      5.09556 7.70779e-006
selparm[7]      61.7692 2.18618e-007
selparm[9]      1.56304 -4.43837e-008
